"","Day","Wind","Solar.radiation","CO","NO","NO2","O3","HC"
"1",1,8,98,7,2,12,8,2
"2",2,7,107,4,3,9,5,3
"3",3,7,103,4,3,5,6,3
"4",4,10,88,5,2,8,15,4
"5",5,6,91,4,2,8,10,3
"6",6,8,90,5,2,12,12,4
"7",7,9,84,7,4,12,15,5
"8",8,5,72,6,4,21,14,4
"9",9,7,82,5,1,11,11,3
"10",10,8,64,5,2,13,9,4
"11",11,6,71,5,4,10,3,3
"12",12,6,91,4,2,12,7,3
"13",13,7,72,7,4,18,10,3
"14",14,10,70,4,2,11,7,3
"15",15,10,72,4,1,8,10,3
"16",16,9,77,4,1,9,10,3
"17",17,8,76,4,1,7,7,3
"18",18,8,71,5,3,16,4,4
"19",19,9,67,4,2,13,2,3
"20",20,9,69,3,3,9,5,3
"21",21,10,62,5,3,14,4,4
"22",22,9,88,4,2,7,6,3
"23",23,8,80,4,2,13,11,4
"24",24,5,30,3,3,5,2,3
"25",25,6,83,5,1,10,23,4
"26",26,8,84,3,2,7,6,3
"27",27,6,78,4,2,11,11,3
"28",28,8,79,2,1,7,10,3
"29",29,6,62,4,3,9,8,3
"30",30,10,37,3,1,7,2,3
"31",31,8,71,4,1,10,7,3
"32",32,7,52,4,1,12,8,4
"33",33,5,48,6,5,8,4,3
"34",34,6,75,4,1,10,24,3
"35",35,10,35,4,1,6,9,2
"36",36,8,85,4,1,9,10,2
"37",37,5,86,3,1,6,12,2
"38",38,5,86,7,2,13,18,2
"39",39,7,79,7,4,9,25,3
"40",40,7,79,5,2,8,6,2
"41",41,6,68,6,2,11,14,3
"42",42,8,40,4,3,6,5,2
